Node,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Best Modularity
49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
168,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
54,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
53,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
178,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
144,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
22,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
112,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
244,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
320,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
314,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
60,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
65,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
262,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
63,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
67,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
68,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
276,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
72,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
286,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
75,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
76,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
74,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
77,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
291,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
292,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
55,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
278,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
21,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
24,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
120,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
295,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
288,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
296,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
45,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
145,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
84,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
322,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
98,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
306,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
317,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
58,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
87,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
88,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
121,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
103,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
57,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
102,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
131,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
117,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
125,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
162,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
31,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
34,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
273,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
268,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
272,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
107,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
106,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
91,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
110,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
109,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
113,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
114,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
37,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
115,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
294,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
330,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
118,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
119,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
126,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
253,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
256,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
73,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
328,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
122,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
258,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
61,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
64,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
297,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
90,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
308,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
42,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
71,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
327,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
70,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
341,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
275,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
135,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
138,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
157,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
164,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
165,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
140,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
191,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
190,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
198,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
197,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
195,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
218,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
221,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
223,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
210,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
225,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
226,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
227,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
229,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
230,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
231,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
232,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
233,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
234,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
167,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
173,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
92,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
219,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
174,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
175,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
116,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
245,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
179,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
181,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
143,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
95,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
2,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16
99,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
331,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
193,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
194,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
228,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
214,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
205,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
199,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
208,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
203,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
216,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
202,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
196,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
201,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
212,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
213,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
217,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
206,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
215,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
207,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
204,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
211,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
209,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
224,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
47,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
242,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
101,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
249,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
251,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
48,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
254,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
255,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
257,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
259,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
261,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
62,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
66,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
263,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
265,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
264,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
266,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
271,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
267,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
274,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
69,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
283,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
277,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
279,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
269,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
280,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
302,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
282,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
284,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
290,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
287,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
78,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
305,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
82,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
298,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
299,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
89,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
304,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
